子欄位,評價單元,最近設施,直線距離_m,來源,備註
國小,P001 比準地 樹德段1415,市立育林國小,175,新北市重要地標 objectid=871,
國小,P002 樹德段284,市立文林國小,540,新北市重要地標 objectid=870,
國小,P003 太平段367+917,市立大同國小,226,新北市重要地標 objectid=868,
國小,P004 文林段317,市立文林國小,88,新北市重要地標 objectid=870,
國中,P001 比準地 樹德段1415,市立育林國中,175,新北市重要地標 objectid=991,
國中,P002 樹德段284,市立育林國中,1043,新北市重要地標 objectid=991,
國中,P003 太平段367+917,市立育林國中,321,新北市重要地標 objectid=991,
國中,P004 文林段317,市立溪崑國中,732,新北市重要地標 objectid=953,
高中,P001 比準地 樹德段1415,市立樹林高中,872,新北市重要地標 objectid=219,
高中,P002 樹德段284,私立樹人家商,195,新北市重要地標 objectid=637,
高中,P003 太平段367+917,市立樹林高中,642,新北市重要地標 objectid=219,
高中,P004 文林段317,私立樹人家商,658,新北市重要地標 objectid=637,
大專院校,P001 比準地 樹德段1415,國立臺灣藝術大學,3853,新北市重要地標 objectid=11,
大專院校,P002 樹德段284,國立臺灣藝術大學,2989,新北市重要地標 objectid=11,
大專院校,P003 太平段367+917,亞東科技大學,3974,新北市重要地標 objectid=9,
大專院校,P004 文林段317,國立臺灣藝術大學,2515,新北市重要地標 objectid=11,
傳統市場,P001 比準地 樹德段1415,彭厝黃昏市場,1026,OSM way/206679652,
傳統市場,P002 樹德段284,樹林夜市,641,OSM node/8365952045,
傳統市場,P003 太平段367+917,彭厝黃昏市場,548,OSM way/206679652,
傳統市場,P004 文林段317,樹林夜市,744,OSM node/8365952045,
超級市場,P001 比準地 樹德段1415,美廉社,541,OSM node/2168079118,
超級市場,P002 樹德段284,全聯福利中心,215,OSM node/2626948476,
超級市場,P003 太平段367+917,美廉社,77,OSM node/2168079118,
超級市場,P004 文林段317,家樂福,280,OSM node/13536335935,
超大型購物中心,P001 比準地 樹德段1415,家樂福,1284,OSM node/13536335935,
超大型購物中心,P002 樹德段284,家樂福,405,OSM node/13536335935,
超大型購物中心,P003 太平段367+917,家樂福,1699,OSM node/13536335935,
超大型購物中心,P004 文林段317,家樂福,280,OSM node/13536335935,
公園,P001 比準地 樹德段1415,樹人體健廣場,86,OSM way/598329249,
公園,P002 樹德段284,長壽親子公園,186,OSM way/197231537,
公園,P003 太平段367+917,太元公園,198,OSM way/436176595,
公園,P004 文林段317,(無名 way/702336842),581,OSM way/702336842,
廣場/遊戲場,P001 比準地 樹德段1415,,,,
廣場/遊戲場,P002 樹德段284,,,,
廣場/遊戲場,P003 太平段367+917,,,,
廣場/遊戲場,P004 文林段317,,,,
火車站,P001 比準地 樹德段1415,樹林站後站,983,新北市重要地標 objectid=116,
火車站,P002 樹德段284,樹林站後站,411,新北市重要地標 objectid=116,
火車站,P003 太平段367+917,南樹林站,780,新北市重要地標 objectid=114,
火車站,P004 文林段317,樹林站後站,796,新北市重要地標 objectid=116,
捷運站,P001 比準地 樹德段1415,永寧站(板南線),3095,新北市重要地標 objectid=1023,
捷運站,P002 樹德段284,海山站(板南線),2957,新北市重要地標 objectid=1024,
捷運站,P003 太平段367+917,頂埔站(板南線),2601,新北市重要地標 objectid=1026,
捷運站,P004 文林段317,亞東醫院站(板南線),2859,新北市重要地標 objectid=1052,
客運站,P001 比準地 樹德段1415,,,,
客運站,P002 樹德段284,,,,
客運站,P003 太平段367+917,,,,
客運站,P004 文林段317,,,,
交流道(匝道),P001 比準地 樹德段1415,土城一交流道 11,2359,OSM node/2171511969,
交流道(匝道),P002 樹德段284,土城一交流道 11,2271,OSM node/2171470814,
交流道(匝道),P003 太平段367+917,土城一交流道 11,2018,OSM node/2171511969,
交流道(匝道),P004 文林段317,土城一交流道 11,2437,OSM node/2171470814,
郵局,P001 比準地 樹德段1415,樹林育英街郵局,672,OSM node/2778985992,
郵局,P002 樹德段284,樹林鎮前街郵局,508,OSM way/481181937,
郵局,P003 太平段367+917,樹林大同郵局,296,OSM node/2167227494,
郵局,P004 文林段317,樹林郵局,661,OSM way/234196386,
醫院,P001 比準地 樹德段1415,仁愛醫院,476,新北市重要地標 objectid=172,
醫院,P002 樹德段284,仁愛醫院,749,新北市重要地標 objectid=172,
醫院,P003 太平段367+917,仁愛醫院,609,新北市重要地標 objectid=172,
醫院,P004 文林段317,仁愛醫院,1317,新北市重要地標 objectid=172,
機關,P001 比準地 樹德段1415,樹林區公所,975,新北市重要地標 objectid=52,
機關,P002 樹德段284,新北市樹林戶政事務所,377,新北市重要地標 objectid=90,
機關,P003 太平段367+917,樹林區公所,1149,新北市重要地標 objectid=52,
機關,P004 文林段317,新北市樹林區衛生所,519,新北市重要地標 objectid=1197,
銀行,P001 比準地 樹德段1415,臺灣銀行,368,OSM node/2167226916,
銀行,P002 樹德段284,臺灣土地銀行,298,OSM node/5758379760,
銀行,P003 太平段367+917,臺灣新光商業銀行,307,OSM node/2419421063,
銀行,P004 文林段317,臺灣土地銀行,325,OSM node/5758379760,
路外停車場,P001 比準地 樹德段1415,樹林區第八平面停車場,142,新北市路外公共停車場 ID=070006,49車位；時段 0~24時；小型車計時20元;小型車月租2500元;身障車月租2200元;
路外停車場,P002 樹德段284,樹林區長壽公園地下停車場,190,新北市路外公共停車場 ID=070079,224車位；時段 0~24時；小型車計時30元;小型車月租3600元;身障車月租1800元;機車計次20元;機
路外停車場,P003 太平段367+917,大同國民小學活動中心地下停車場,212,新北市路外公共停車場 ID=070010,24車位；時段 0~24時；小型車月租3500元;
路外停車場,P004 文林段317,樹林區文林國民小學停車場,108,新北市路外公共停車場 ID=070011,41車位；時段 平日18時至翌日7時、國定例假日24小時；小型車計次50元;小型車計次100元;小型車計次50元;小型車計時100元;小型
高壓鐵塔,P001 比準地 樹德段1415,樹安～南樹線020,62,OSM node/5694808889,
高壓鐵塔,P002 樹德段284,頂埔～樹德線豐林分歧線004,330,OSM node/5053697991,
高壓鐵塔,P003 太平段367+917,樹安～南樹線020,478,OSM node/5694808889,
高壓鐵塔,P004 文林段317,(無名 node/5053697993),276,OSM node/5053697993,
變電所,P001 比準地 樹德段1415,樹林變電所,69,OSM way/598329250,台灣電力公司 161000;22000
變電所,P002 樹德段284,樹安變電所,512,OSM way/1190336553,台灣電力公司 69000;22000
變電所,P003 太平段367+917,樹林變電所,447,OSM way/598329250,台灣電力公司 161000;22000
變電所,P004 文林段317,樹安變電所,191,OSM way/1190336553,台灣電力公司 69000;22000
儲槽(內容物未知),P001 比準地 樹德段1415,(無名 node/5507224135),1258,OSM node/5507224135,
儲槽(內容物未知),P002 樹德段284,(無名 node/5507224135),2179,OSM node/5507224135,
儲槽(內容物未知),P003 太平段367+917,(無名 node/5507224135),1077,OSM node/5507224135,
儲槽(內容物未知),P004 文林段317,(無名 node/5507224135),2756,OSM node/5507224135,
殯葬,P001 比準地 樹德段1415,樹林區第五公墓,119,OSM relation/6394303,
殯葬,P002 樹德段284,樹林區第三公墓,790,OSM way/429796846,
殯葬,P003 太平段367+917,(無名 way/366250195),293,OSM way/366250195,
殯葬,P004 文林段317,樹林區第三公墓,875,OSM way/429796846,
廢棄物處理,P001 比準地 樹德段1415,汙水處理廠,2668,OSM way/268232820,
廢棄物處理,P002 樹德段284,汙水處理廠,3079,OSM way/268232820,
廢棄物處理,P003 太平段367+917,汙水處理廠,2223,OSM way/268232820,
廢棄物處理,P004 文林段317,汙水處理廠,3512,OSM way/268232820,
捷運站(2022未營運),P001 比準地 樹德段1415,LG16站(萬大樹林線)(施工中),76,新北市重要地標 objectid=1105,
捷運站(2022未營運),P002 樹德段284,LG17站(萬大樹林線)(施工中),176,新北市重要地標 objectid=1106,
捷運站(2022未營運),P003 太平段367+917,LG15站(萬大樹林線)(施工中),322,新北市重要地標 objectid=1104,
捷運站(2022未營運),P004 文林段317,LG18站(萬大樹林線)(施工中),344,新北市重要地標 objectid=1107,
市場(名稱關鍵字待確認),P001 比準地 樹德段1415,東昇市場,694,OSM way/206682351,
市場(名稱關鍵字待確認),P002 樹德段284,保安市場,701,OSM way/267171374,
市場(名稱關鍵字待確認),P003 太平段367+917,東昇市場,200,OSM way/206682351,
市場(名稱關鍵字待確認),P004 文林段317,保安市場,642,OSM way/267171374,
排除(價格日期後啟用),P001 比準地 樹德段1415,永寧轉運站,3127,OSM way/1071868886,2025-02-17
排除(價格日期後啟用),P002 樹德段284,永寧轉運站,3431,OSM way/1071868886,2025-02-17
排除(價格日期後啟用),P003 太平段367+917,永寧轉運站,2709,OSM way/1071868886,2025-02-17
排除(價格日期後啟用),P004 文林段317,永寧轉運站,3806,OSM way/1071868886,2025-02-17
